gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
YWHAQ,-0.002659682535632564,5.997557386115546,-0.029916610369637383,0.9761918471224036,1,-10.671008668551726
FRG1CP,-0.0037425844950774553,2.7795960489367197,-0.029846303882533252,0.9762477814397462,1,-10.67101078991902
ZKSCAN8,-0.00326979124459369,4.485719494787233,-0.029742736204737368,0.976330177855318,1,-10.671013905789197
HYCC1,0.0036110168944742138,3.567437178433859,0.029725146299623445,0.9763441720647269,1,-10.671014433911754
CAD,0.001967894561258547,5.072729216004765,0.029607343705138983,0.9764378938620564,1,-10.671017962786063
NSF,0.002375426813410222,4.696119294050343,0.029540884939747176,0.9764907675032023,1,-10.671019947430873
SERBP1P1,-0.0015872699913004299,1.8404317923674063,-0.02952197091552142,0.9765058152489391,1,-10.671020511441368
FBXO5,0.0033674394848584167,1.8306785713824791,0.02951040556133431,0.9765150164948588,1,-10.671020856138751
UBE2J2,0.0014080266670110208,5.991787805989071,0.02950918746583482,0.9765159855960379,1,-10.671020892435381
ZNF614,-0.0026159468169150574,5.207200727411709,-0.029485598341857995,0.9765347528078998,1,-10.67102159504525
KIF20A,-0.0019723068026738376,0.10612046527510008,-0.02945992439756778,0.9765551786916948,1,-10.671022359113623
NFKBIB,-0.0014797680672518335,4.835627333036305,-0.029411997274934938,0.9765933089804373,1,-10.671023783665884
PIWIL2-DT,-1.43556573546717e-4,0.005986839379344365,-0.029378226560405087,0.9766201766200489,1,-10.671024786050033
RNA5SP365,-1.8490872074618988e-4,0.007321162373619661,-0.02931833524517798,0.9766678256121005,1,-10.671026560915154
VCF2,-0.002225309010133898,1.6491346901163408,-0.02926931260523909,0.9767068276466739,1,-10.671028010993972
LXN,-0.0031399389545996707,1.9296532597877332,-0.029226361729149504,0.9767409990791642,1,-10.67102927947694
LAT2,0.001815238511756904,8.575600598018248,0.029143766922360075,0.9768067110819785,1,-10.671031713542503
EIF3FP3,0.0020071796029888294,4.6352505209833454,0.029122978371983053,0.9768232503707486,1,-10.671032325095158
PLEKHB2,-0.002194758974605735,6.626513623837865,-0.029101140759469273,0.9768406243001104,1,-10.671032967038915
ZFAND2B,0.0014451080003568002,5.313560052868835,0.028974677596957932,0.9769412381759499,1,-10.67103667511206
RPAP1,0.002072517357482477,4.274822065472784,0.028870277037048423,0.9770242993634775,1,-10.67103972411088
ZNF582,-0.002630897449981749,1.2854456380480814,-0.0288547125824524,0.9770366824804457,1,-10.671040177725168
SAG,-7.896775819172558e-4,0.034151381973989266,-0.028800473971326408,0.9770798348918792,1,-10.671041756557127
UNC119B,0.0027235804073569092,5.092096647844522,0.02871112106767152,0.9771509244944461,1,-10.671044351053506
RPL7P18,-0.00231236268426669,1.5729399131940534,-0.028709903530519543,0.9771518931741695,1,-10.671044386350866
SLC35G4,-3.957936326376995e-4,0.0692404869571143,-0.028679569779984194,0.977176026895645,1,-10.67104526526682
ATP6V0CP3,-6.135113298207681e-4,0.05279343439195886,-0.028630166727518582,0.9772153323182675,1,-10.671046694724179
PKN2,-0.0036884254110347574,5.867516763873935,-0.02861197747470838,0.9772298038323135,1,-10.671047220402142
GATA3,0.002158913666941074,4.390339577672735,0.02860410289404459,0.9772360689136108,1,-10.671047447877596
CHRNB2,6.425959264340221e-4,0.023722967164034624,0.02845919246540275,0.9773513610993216,1,-10.67105162277233
ATR,0.0031297189910260113,4.384334358140022,0.02845647518702801,0.9773535229977549,1,-10.671051700855065
RPL21P130,-1.312578589784458e-4,0.004825162849093858,-0.028442097583306982,0.9773649619901235,1,-10.671052113880627
GSE1,0.002546325667032288,5.183064392209728,0.028434151944478295,0.9773712836368198,1,-10.67105234204554
MIR4480,0.0014856280742066707,0.12160926726699962,0.02841042377406233,0.9773901620657977,1,-10.671053023038064
LRP8-DT,-8.450614871611097e-4,0.05760255972794133,-0.02835666052731327,0.9774329368244645,1,-10.671054563926337
GPR137C,-8.625334623933767e-4,0.046086546009474885,-0.028353322280157838,0.9774355927807522,1,-10.67105465950635
TCF7L1,0.004057707159110057,0.8317641753565503,0.028283117349362105,0.9774914488677457,1,-10.671056666992929
SUPT20H,0.002556700690287074,5.797767943411457,0.028277371731532632,0.9774960201716985,1,-10.67105683106665
MEF2AP1,-0.001562473193143458,1.4354064278829208,-0.028275084461519703,0.9774978399599197,1,-10.671056896373383
FCRLB,0.0017052293158914655,1.098729212277407,0.028265367746298935,0.9775055707336535,1,-10.671057173748729
LOC124902392,-2.663226360226473e-4,0.010063118072669993,-0.028256312838158836,0.9775127749650396,1,-10.67105743214618
TRGV11,4.89543949267988e-4,0.037153352891575175,0.028239080122583655,0.9775264855974447,1,-10.67105792368278
CENPN,-0.0025768893559331802,0.9083923076058883,-0.028230198217079963,0.9775335521904162,1,-10.67105817690831
RPL5P13,0.0011079117542602893,0.17566157762812906,0.028201873177042102,0.9775560880792395,1,-10.671058983930795
CEBPG,-0.002624926681403563,4.072955125299601,-0.02816919370947468,0.9775820884480508,1,-10.671059914010902
PTPN13,0.004247120275711657,1.3696210693313375,0.02810982316003419,0.9776293247807432,1,-10.671061600978346
FTH1P8,-0.0020654313960695968,5.979339595828377,-0.028037936874711594,0.977686518976284,1,-10.671063638806835
KRT18P23,1.7903879711022542e-4,0.0098987993584167,0.02792813525404567,0.9777738796109245,1,-10.671066741385124
VDAC3,-0.0017809021179017565,5.56695304325378,-0.02783911045922664,0.9778447099350701,1,-10.671069247952428
SNTG2,-4.864391551795762e-4,0.018597135633348312,-0.027796581261969384,0.9778785472767527,1,-10.671070442572717
MEF2C,0.0027533061019659605,4.984027943680255,0.02771192534644868,0.9779459018574654,1,-10.671072815071948
IRS3P,6.753774644391876e-4,0.09724339628138304,0.027677737389782,0.9779731027837537,1,-10.671073771145057
MBD2,-0.0022151234803286985,5.777322952544764,-0.0275721635433472,0.9780571005507622,1,-10.671076716089486
TNFRSF8,-0.001993683252729196,4.32521750347508,-0.02748700115591594,0.9781248585194011,1,-10.67107908346268
ZBTB10,-0.0030646544977564463,2.1578564813198535,-0.02743141402595641,0.9781690855365359,1,-10.67108062474267
DCAF13P3,-0.0016645046701649696,0.413844507604445,-0.02737153238071908,0.9782167294927357,1,-10.67108228160697
PTPRD,2.715491482307448e-4,0.006138248649854913,0.027363261721753,0.9782233099279145,1,-10.67108251016312
LINC01163,-0.0026115803092033522,0.8074109915564105,-0.027284144664503174,0.9782862583939198,1,-10.671084693038818
RP2,-0.0038859437409501088,4.7250210011519105,-0.027277102968848575,0.9782918610348862,1,-10.67108488701611
MIR4673,5.340985367370356e-4,0.08781064023605886,0.027252765296123232,0.9783112250216075,1,-10.671085557059358
ANKRD20A17P,5.466433323772593e-4,0.060136510477340595,0.027221655178006794,0.9783359774447531,1,-10.671086412684673
ICAM5,-0.0020911983501756084,0.9129947144489396,-0.02719852053332701,0.9783543842839444,1,-10.671087048325992
TNK2-AS1,-0.0015969161943030965,0.985620997000553,-0.027191575547948283,0.9783599099915417,1,-10.671087239039094
PTMAP4,0.002087271252639301,3.9257102521929337,0.027128820531130523,0.9784098404357213,1,-10.671088960117844
LOC100128770,-0.001907719253832246,0.19394157543377574,-0.0270701127396906,0.9784565508204683,1,-10.671090566599823
TPP2,0.003091767265245265,5.099784575537323,0.027064494935752345,0.9784610205851759,1,-10.671090720143155
ELOVL5,0.002721000855960087,7.0539815925070775,0.027022449456841378,0.9784944737854229,1,-10.671091868299792
