author,year,sample_size,population,n_exposures
Vosa U,2018,23564,European,1
Vosa U,2018,21737,European,1
Vosa U,2018,26090,European,1
Vosa U,2018,30223,European,1
Vosa U,2018,21685,European,1
Vosa U,2018,19182,European,1
Vosa U,2018,21773,European,1
Vosa U,2018,12498,European,1
Vosa U,2018,22680,European,1
Vosa U,2018,26237,European,1
Vosa U,2018,28243,European,1
Vosa U,2018,23120,European,1
Vosa U,2018,26204,European,1
Vosa U,2018,22545,European,1
Vosa U,2018,15878,European,1
Vosa U,2018,9594,European,1
Vosa U,2018,22289,European,1
Vosa U,2018,22304,European,1
Vosa U,2018,22075,European,1
Vosa U,2018,18116,European,1
Vosa U,2018,22442,European,1
Vosa U,2018,20075,European,1
Vosa U,2018,17605,European,1
Vosa U,2018,22134,European,1
Vosa U,2018,27446,European,1
Vosa U,2018,22265,European,1
Vosa U,2018,27232,European,1
Vosa U,2018,10671,European,1
Vosa U,2018,21863,European,1
Vosa U,2018,26812,European,1
Vosa U,2018,16927,European,1
Vosa U,2018,21844,European,1
Vosa U,2018,9890,European,1
Vosa U,2018,4941,European,1
Vosa U,2018,5449,European,1
Vosa U,2018,21998,European,1
Vosa U,2018,29923,European,1
Vosa U,2018,16224,European,1
Vosa U,2018,16052,European,1
Vosa U,2018,23556,European,1
Vosa U,2018,21364,European,1
Vosa U,2018,23030,European,1
Vosa U,2018,22782,European,1
Vosa U,2018,21584,European,1
Vosa U,2018,27998,European,1
Vosa U,2018,11655,European,1
Vosa U,2018,30918,European,1
Vosa U,2018,19520,European,1
Vosa U,2018,30026,European,1
Vosa U,2018,22803,European,1
Vosa U,2018,25224,European,1
Vosa U,2018,4750,European,1
Vosa U,2018,20998,European,1
Vosa U,2018,25547,European,1
Vosa U,2018,24273,European,1
Vosa U,2018,16883,European,1
Vosa U,2018,19837,European,1
Vosa U,2018,17842,European,1
Vosa U,2018,29976,European,1
Vosa U,2018,5892,European,1
Vosa U,2018,7517,European,1
Vosa U,2018,25761,European,1
Vosa U,2018,23432,European,1
Vosa U,2018,17267,European,1
Vosa U,2018,29852,European,1
Vosa U,2018,24684,European,1
Vosa U,2018,24888,European,1
Vosa U,2018,16610,European,1
Vosa U,2018,25763,European,1
Vosa U,2018,15714,European,1
Vosa U,2018,25446,European,1
Vosa U,2018,20737,European,1
Vosa U,2018,31155,European,1
Vosa U,2018,21966,European,1
Vosa U,2018,21922,European,1
Vosa U,2018,23778,European,1
Vosa U,2018,26071,European,1
Vosa U,2018,26938,European,1
Vosa U,2018,23130,European,1
Vosa U,2018,23999,European,1
Vosa U,2018,29753,European,1
Vosa U,2018,29612,European,1
Vosa U,2018,25039,European,1
Vosa U,2018,29539,European,1
Vosa U,2018,16730,European,1
Vosa U,2018,25312,European,1
Vosa U,2018,9097,European,1
Vosa U,2018,12930,European,1
Vosa U,2018,30431,European,1
Vosa U,2018,22415,European,1
Vosa U,2018,24116,European,1
Vosa U,2018,25603,European,1
Vosa U,2018,26821,European,1
Vosa U,2018,17649,European,1
Vosa U,2018,22375,European,1
Vosa U,2018,24328,European,1
Vosa U,2018,21884,European,1
Vosa U,2018,24915,European,1
Vosa U,2018,27784,European,1
Vosa U,2018,18941,European,1
Vosa U,2018,29963,European,1
Vosa U,2018,29747,European,1
Vosa U,2018,30183,European,1
Vosa U,2018,25661,European,1
Vosa U,2018,25362,European,1
Vosa U,2018,6230,European,1
Vosa U,2018,28666,European,1
Vosa U,2018,12202,European,1
Vosa U,2018,25831,European,1
Vosa U,2018,30530,European,1
Vosa U,2018,9435,European,1
Vosa U,2018,24473,European,1
Vosa U,2018,23996,European,1
Vosa U,2018,29999,European,1
Vosa U,2018,21112,European,1
Vosa U,2018,29071,European,1
Vosa U,2018,25052,European,1
Vosa U,2018,23770,European,1
Vosa U,2018,25499,European,1
Vosa U,2018,28168,European,1
Vosa U,2018,22201,European,1
Vosa U,2018,29802,European,1
Vosa U,2018,24416,European,1
Vosa U,2018,27584,European,1
Vosa U,2018,30307,European,1
Vosa U,2018,13914,European,1
Vosa U,2018,29873,European,1
Vosa U,2018,24307,European,1
Vosa U,2018,10333,European,1
Vosa U,2018,23765,European,1
Vosa U,2018,24643,European,1
Vosa U,2018,28977,European,1
Vosa U,2018,29896,European,1
Vosa U,2018,29705,European,1
Vosa U,2018,30792,European,1
Vosa U,2018,28934,European,1
Vosa U,2018,12995,European,1
Vosa U,2018,22249,European,1
Vosa U,2018,23606,European,1
Vosa U,2018,30542,European,1
Vosa U,2018,30383,European,1
Vosa U,2018,22098,European,1
Vosa U,2018,30016,European,1
Vosa U,2018,22669,European,1
Vosa U,2018,23469,European,1
Vosa U,2018,23797,European,1
Vosa U,2018,26327,European,1
Vosa U,2018,25847,European,1
Vosa U,2018,25637,European,1
Vosa U,2018,25606,European,1
Vosa U,2018,17970,European,1
Vosa U,2018,28131,European,1
Vosa U,2018,31092,European,1
Vosa U,2018,30328,European,1
Vosa U,2018,30301,European,1
Vosa U,2018,23418,European,1
Vosa U,2018,29054,European,1
Vosa U,2018,31306,European,1
Vosa U,2018,24927,European,1
Vosa U,2018,25018,European,1
Vosa U,2018,28834,European,1
Vosa U,2018,19693,European,1
Vosa U,2018,24210,European,1
Vosa U,2018,31010,European,1
Vosa U,2018,30066,European,1
Vosa U,2018,19667,European,1
Vosa U,2018,29703,European,1
Vosa U,2018,25062,European,1
Vosa U,2018,24317,European,1
Vosa U,2018,28419,European,1
Vosa U,2018,25585,European,1
Vosa U,2018,22266,European,1
Vosa U,2018,28579,European,1
Vosa U,2018,30204,European,1
Vosa U,2018,30758,European,1
Vosa U,2018,29508,European,1
Vosa U,2018,28853,European,1
Vosa U,2018,29409,European,1
Vosa U,2018,26231,European,1
Vosa U,2018,28874,European,1
Vosa U,2018,8997,European,1
Vosa U,2018,27276,European,1
Vosa U,2018,24901,European,1
Vosa U,2018,30985,European,1
Vosa U,2018,19818,European,1
Vosa U,2018,27399,European,1
Vosa U,2018,25721,European,1
Vosa U,2018,20416,European,1
Vosa U,2018,21986,European,1
Vosa U,2018,30574,European,1
Vosa U,2018,25192,European,1
Vosa U,2018,25063,European,1
Vosa U,2018,25232,European,1
Vosa U,2018,24666,European,1
Vosa U,2018,29583,European,1
Vosa U,2018,26207,European,1
Vosa U,2018,30557,European,1
Vosa U,2018,30932,European,1
Vosa U,2018,12710,European,1
Vosa U,2018,30848,European,1
Vosa U,2018,23703,European,1
Vosa U,2018,20275,European,1
Vosa U,2018,30167,European,1
Vosa U,2018,25591,European,1
