mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
novel_miR_1919,case_after_vs_control,welch_t,10,10,-1.981059824767546,0.22555258878687234,0.3487957026599608,down_in_case_after
novel_miR_192,case_after_vs_control,welch_t,10,10,-0.449015864743219,0.5606928207793173,0.6147355023002153,down_in_case_after
novel_miR_1921,case_after_vs_control,welch_t,10,10,1.447144324128796,0.02114236477944864,0.15158434869144086,up_in_case_after
novel_miR_1923,case_after_vs_control,welch_t,10,10,-1.5169235121590432,0.07000537308359851,0.21851281360922703,down_in_case_after
novel_miR_193,case_after_vs_control,welch_t,10,10,-0.884873510202151,0.11063825044327166,0.2535163086616609,down_in_case_after
novel_miR_1931,case_after_vs_control,welch_t,10,10,-1.993787230847112,0.06961485584080195,0.21851281360922703,down_in_case_after
novel_miR_1934,case_after_vs_control,welch_t,10,10,-1.0422832863063431,0.2522270797027395,0.36837609294856893,down_in_case_after
novel_miR_1938,case_after_vs_control,welch_t,10,10,-1.2103077224622811,0.24821381615023735,0.3666374328375302,down_in_case_after
novel_miR_1946,case_after_vs_control,welch_t,10,10,-1.341470562590204,0.12537420544622155,0.2683215824274262,down_in_case_after
novel_miR_1948,case_after_vs_control,welch_t,10,10,-0.9055987026462966,0.19080093573856433,0.3210775348203721,down_in_case_after
novel_miR_1949,case_after_vs_control,welch_t,10,10,0.5937238810532122,0.3137625639284296,0.4192830305791041,up_in_case_after
novel_miR_1955,case_after_vs_control,welch_t,10,10,-1.858946365572368,0.03187781732294347,0.18030419635213388,down_in_case_after
novel_miR_1962,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_1966,case_after_vs_control,welch_t,10,10,-1.1647848839360448,0.32302556691574014,0.4192830305791041,down_in_case_after
novel_miR_1968,case_after_vs_control,welch_t,10,10,-1.5926612400651732,0.032317247892407995,0.18030419635213388,down_in_case_after
novel_miR_1971,case_after_vs_control,welch_t,10,10,0.9352975160018313,0.18003583145038957,0.31124794175992954,up_in_case_after
